geoid,public schools,private schools,child care facilities,population,median income,assistance rate,offender density,bachelor %
1400000US29013070300,2,0,1,4513,51819.00,0.2689805,0.00332373,0.0462933
1400000US29013070400,3,0,1,2894,68782.00,0.1396161,0.00172771,0.0965092
1400000US29015460100,3,1,1,3350,40161.00,0.1715543,0.00000000,0.1095644
1400000US29015460200,2,0,1,2688,32531.00,0.1563981,0.00000000,0.0452040
1400000US29015460300,1,0,1,4080,81667.00,0.1661255,0.00196078,0.0992318
1400000US29015460400,0,0,0,2124,40294.00,0.1188318,0.00000000,0.0698570
1400000US29015460700,0,0,0,2649,39150.00,0.0605381,0.00000000,0.0526539
1400000US29015460800,0,0,0,4084,48060.00,0.1797015,0.00000000,0.0765136
1400000US29017950100,0,0,0,4559,50586.00,0.1479562,0.00000000,0.0632399
1400000US29017950200,3,0,0,4738,29038.00,0.2664474,0.00147742,0.0412890
1400000US29017950300,1,0,0,3148,70743.00,0.1829856,0.00000000,0.0790179
1400000US29019000300,0,0,0,3525,64633.00,0.0323855,0.00056738,0.3241297
1400000US29019000600,2,1,2,4840,30653.00,0.0091241,0.00020661,0.2776511
1400000US29019000700,1,1,4,3983,71775.00,0.1456416,0.00251067,0.2317304
1400000US29019000900,2,0,4,1690,57500.00,0.3517520,0.00532544,0.1265823
1400000US29019001001,1,0,4,3901,35963.00,0.0335397,0.00076903,0.2514423
1400000US29019001002,2,0,2,6363,52895.00,0.1200632,0.00188590,0.2360122
1400000US29019001101,0,1,4,7852,48359.00,0.1689210,0.00038207,0.2482055
1400000US29019001103,0,0,3,6892,26690.00,0.0490074,0.00014510,0.3272767
1400000US29019001104,4,0,1,9895,47816.00,0.0919037,0.00070743,0.3364638
1400000US29019001201,1,1,2,5661,36250.00,0.0441112,0.00141318,0.3232008
1400000US29019001202,0,0,0,5299,47994.00,0.0541897,0.00075486,0.3504051
1400000US29019001300,3,1,4,3318,54881.00,0.1173826,0.00030139,0.3001547
1400000US29019001400,3,1,3,11027,59671.00,0.0880330,0.00281128,0.2489620
1400000US29019001502,0,0,1,6391,40600.00,0.2271973,0.00594586,0.1430446
1400000US29019001503,1,0,1,3330,50587.00,0.1677632,0.01021021,0.1709018
1400000US29019001504,4,0,6,8690,58047.00,0.1393581,0.00184120,0.2329706
1400000US29019001601,0,0,1,6639,16866.00,0.0684647,0.00346438,0.2806122
1400000US29019001602,1,0,0,3073,81053.00,0.0552995,0.00585747,0.2443715
1400000US29019001701,4,0,6,6903,58625.00,0.0441014,0.00115892,0.2351574
1400000US29019001702,1,0,1,4243,74615.00,0.0267286,0.00188546,0.2726952
1400000US29019001803,0,0,1,4226,39640.00,0.1030806,0.00520587,0.2388377
1400000US29019001805,0,1,0,8601,42674.00,0.0922377,0.00081386,0.3057616
1400000US29019001901,2,0,1,4333,28368.00,0.0615749,0.00207708,0.1651194
1400000US29019001902,3,0,2,7560,54821.00,0.0889179,0.00238095,0.1350558
1400000US29019002000,4,0,0,4835,71587.00,0.0942623,0.00124095,0.1531259
1400000US29019002100,3,0,9,2783,13079.00,0.3037543,0.00359325,0.1958831
1400000US29019002200,0,0,0,6879,35776.00,0.0625869,0.00029074,0.4456140
1400000US29021000100,1,0,3,5862,36128.00,0.0776340,0.00034118,0.2905444
1400000US29021000200,2,0,2,4753,27132.00,0.0839416,0.00084157,0.2072238
1400000US29021000300,2,0,1,3286,30122.00,0.1517241,0.00365186,0.1041056
1400000US29021000400,1,0,1,1628,73262.00,0.1930693,0.00429975,0.0824545
1400000US29021000500,1,0,1,2715,38498.00,0.1213720,0.00368324,0.1439669
1400000US29021000600,5,1,1,5397,63409.00,0.0638144,0.00185288,0.1255129
1400000US29021000701,0,2,3,4593,55345.00,0.0833898,0.00065317,0.1103553
1400000US29021000702,0,0,0,4268,49661.00,0.0918599,0.00164011,0.1525015
1400000US29021000900,3,0,3,4764,27265.00,0.1235834,0.00167926,0.1905219
1400000US29021001100,1,0,1,2970,56815.00,0.3513296,0.00505051,0.0839304
1400000US29021001200,0,0,2,2183,50847.00,0.2632197,0.00549702,0.1638066
1400000US29021001500,3,1,2,5168,34877.00,0.1415000,0.00232198,0.1098340
1400000US29021001600,2,0,2,2640,51985.00,0.1297837,0.00303030,0.1680961
1400000US29021001700,2,1,2,4742,56302.00,0.0551268,0.00316322,0.1037170
1400000US29021001800,0,0,1,3192,37813.00,0.1609719,0.00375940,0.1151611
1400000US29021002100,0,0,1,2381,55434.00,0.1104972,0.00461991,0.0384381
1400000US29021002200,0,0,1,1767,48152.00,0.0324401,0.00622524,0.1796311
1400000US29021002300,3,0,1,2622,46902.00,0.1037118,0.00228833,0.1177200
1400000US29021002500,1,0,1,2028,18056.00,0.1410694,0.00493097,0.0198441
1400000US29021002700,1,0,0,3104,48073.00,0.1009830,0.00193299,0.1433414
1400000US29021002800,0,0,0,4763,48935.00,0.1029160,0.00146966,0.0952529
1400000US29021002900,2,0,1,3198,38161.00,0.0584000,0.00531582,0.1170644
1400000US29021003000,0,0,3,5472,23365.00,0.2732949,0.00767544,0.0335117
1400000US29023950100,1,1,0,4645,64867.00,0.1272727,0.00193757,0.1006071
1400000US29023950201,1,0,0,4819,30965.00,0.0093226,0.00041502,0.0969267
1400000US29023950202,0,0,0,4902,102331.00,0.1675729,0.00305998,0.1009698
1400000US29023950300,8,0,4,7406,13503.00,0.1839820,0.00310559,0.1498171
1400000US29023950400,0,0,0,3614,27543.00,0.3398058,0.00553403,0.0394154
1400000US29023950500,0,0,0,2514,46159.00,0.3277680,0.00795545,0.0113095
1400000US29023950600,2,0,2,4310,36404.00,0.2354286,0.00301624,0.0819419
1400000US29023950700,1,0,1,3110,45870.00,0.4456343,0.00450161,0.0153509
1400000US29023950800,0,0,1,3064,30361.00,0.2758101,0.00881201,0.0349190
1400000US29023950900,0,0,0,4053,32523.00,0.1981068,0.00444116,0.0588028
1400000US29025950100,4,0,0,2863,63292.00,0.1463009,0.00314356,0.0897571
1400000US29025950200,8,0,2,6517,24063.00,0.1177621,0.00276201,0.0774266
1400000US29027070100,2,0,1,4723,41786.00,0.0699894,0.00359941,0.1093898
1400000US29027070200,0,0,0,3931,66107.00,0.1673360,0.00559654,0.0868545
1400000US29027070300,3,1,2,7711,34485.00,0.1205148,0.00324212,0.1183889
1400000US29027070400,2,0,2,5613,30156.00,0.1371728,0.00481026,0.1491564
1400000US29027070500,0,1,2,4509,24684.00,0.0323544,0.00266134,0.1956258
1400000US29027070600,6,0,3,6855,30396.00,0.0922654,0.00408461,0.0974863
1400000US29027070700,1,0,3,6031,28482.00,0.0726908,0.00315039,0.1900943
1400000US29027070800,1,0,1,4396,36672.00,0.1262192,0.00295723,0.1263391
1400000US29029950100,0,0,0,4575,49229.00,0.0443038,0.00065574,0.2163355
1400000US29029950200,1,0,2,6094,80021.00,0.0997141,0.00196915,0.2015968
1400000US29029950300,0,0,0,1739,65074.00,0.0155875,0.00287522,0.1208191
1400000US29029950400,0,0,2,3504,52104.00,0.1730486,0.00228311,0.1618339
1400000US29029950500,2,0,3,3925,36250.00,0.1636134,0.00178344,0.1000767
1400000US29029950600,0,0,0,4203,65595.00,0.1028213,0.00142755,0.1365971
1400000US29029950700,2,0,0,3823,76486.00,0.1597023,0.00366205,0.0718485
1400000US29029950800,4,0,1,6713,108293.00,0.1392356,0.00268137,0.0657952
1400000US29029950900,2,0,3,3379,62644.00,0.1155978,0.00207162,0.0623862
1400000US29029951100,0,0,0,3098,25987.00,0.0975293,0.00096837,0.1976390
1400000US29029951200,1,0,0,2104,32250.00,0.0394089,0.00142586,0.0778443
1400000US29031880100,2,0,1,5895,19975.00,0.0543621,0.00186599,0.1478414
1400000US29031880200,1,0,0,3489,102450.00,0.0625465,0.00315277,0.1712032
1400000US29031880300,1,0,0,4494,42534.00,0.1025200,0.00200267,0.1074735
1400000US29031880400,5,2,2,6528,40411.00,0.1172676,0.00107230,0.1402023
1400000US29031880500,1,0,2,9092,30202.00,0.0812665,0.00186978,0.1806688
1400000US29031880600,3,0,0,6046,19716.00,0.0993492,0.00198478,0.2054545
1400000US29031880700,0,0,0,4286,34458.00,0.0365322,0.00023332,0.3602613
1400000US29031880800,0,1,0,4431,37708.00,0.2058450,0.00045137,0.1818880
1400000US29031880900,0,0,0,2600,49375.00,0.1832325,0.00769231,0.1032832
1400000US29031881100,2,1,4,2906,31180.00,0.1263307,0.00240881,0.2000912
1400000US29031881200,2,2,2,5710,15149.00,0.0398050,0.00052539,0.2295844
1400000US29031881300,0,0,2,6078,51389.00,0.1329942,0.00246792,0.2185448
1400000US29031881400,1,1,1,2923,28750.00,0.6034799,0.00615806,0.0692641
1400000US29031881500,3,1,1,4703,38806.00,0.0774929,0.00170104,0.1352063
1400000US29031881600,1,0,0,3108,35254.00,0.3098373,0.00193050,0.0441696
1400000US29033960100,2,0,0,2559,61902.00,0.1007678,0.00117233,0.0897577
1400000US29033960200,1,0,0,2818,34755.00,0.0648148,0.00141945,0.1330917
1400000US29033960300,2,0,4,4108,34591.00,0.1059565,0.00730282,0.1265189
1400000US29035960100,3,0,1,3750,35756.00,0.2017253,0.00000000,0.0382140
1400000US29035960200,1,0,1,2391,90375.00,0.2058190,0.00083647,0.0927835
1400000US29037060001,1,0,1,4111,55769.00,0.0326371,0.00243250,0.1980797
1400000US29037060003,1,0,2,3417,86060.00,0.0879121,0.00146327,0.1615662
1400000US29037060004,0,0,1,5488,62222.00,0.1622177,0.00400875,0.0964251
1400000US29037060100,0,0,0,1563,76788.00,0.0318258,0.00191939,0.1639344
1400000US29037060202,7,0,3,4892,53547.00,0.0890110,0.00143091,0.1641090
1400000US29037060301,3,2,5,8384,39771.00,0.0404040,0.00059637,0.2010096
1400000US29037060302,1,0,2,7119,22204.00,0.0529121,0.00323079,0.1952217
1400000US29037060305,1,0,0,4392,23723.00,0.0459619,0.00068306,0.1701972
1400000US29037060400,1,0,0,4293,59531.00,0.0319607,0.00093175,0.2773609
1400000US29037060500,0,0,0,3156,39488.00,0.0778612,0.00126743,0.1471503
1400000US29037060600,4,0,2,7488,54750.00,0.0988690,0.00106838,0.1053845
1400000US29037060700,0,0,1,3781,36278.00,0.0868659,0.00211584,0.1241624
1400000US29037060800,1,0,1,5911,41713.00,0.0906193,0.00067670,0.1194472
1400000US29037060904,2,0,0,3053,43300.00,0.0639004,0.00262037,0.1143162
1400000US29037061001,0,0,0,4540,86528.00,0.0239766,0.00154185,0.0956416
1400000US29037061002,3,0,1,6431,74365.00,0.0717489,0.00217696,0.1496768
1400000US29037061100,4,0,1,4322,54018.00,0.0678466,0.00300787,0.1416777
1400000US29037061200,5,0,2,3870,81527.00,0.0629053,0.00258398,0.1091686
1400000US29037061300,0,1,0,5871,35976.00,0.1640325,0.00272526,0.1433729
1400000US29037061400,4,1,1,5516,73762.00,0.1613222,0.00145033,0.0572132
1400000US29039870100,0,1,0,5881,83611.00,0.1422451,0.00221051,0.0607006
1400000US29039870200,3,1,3,4748,66123.00,0.2074800,0.00358046,0.0826184
1400000US29039870300,2,0,0,3462,34536.00,0.1099678,0.00231080,0.1132376
1400000US29041470100,2,0,0,2373,54329.00,0.0275330,0.00000000,0.0786325
1400000US29041470200,4,0,2,2664,36338.00,0.0926573,0.00225225,0.0803942
1400000US29041470300,1,1,1,2834,71047.00,0.0951510,0.00211715,0.1177730
1400000US29043020101,2,0,0,2992,50183.00,0.1007252,0.00267380,0.1409396
1400000US29043020102,1,0,3,4740,47917.00,0.0763314,0.00084388,0.1334864
1400000US29043020201,0,0,0,4194,43451.00,0.0521108,0.00000000,0.2440174
1400000US29043020202,1,0,4,5714,46271.00,0.0820468,0.00175009,0.1335797
1400000US29043020203,2,0,4,5394,26267.00,0.0736138,0.00092696,0.2305492
1400000US29043020204,2,0,3,3674,27431.00,0.1153574,0.00027218,0.1998303
1400000US29043020205,3,0,2,6299,45121.00,0.0993761,0.00174631,0.2966056
1400000US29043020302,1,0,2,5853,42886.00,0.0935646,0.00222108,0.2372924
1400000US29043020303,1,0,1,4932,38958.00,0.0828272,0.00182482,0.1766242
1400000US29043020304,0,0,0,3065,56042.00,0.1810277,0.00554649,0.1680040
1400000US29043020305,1,0,4,5713,33861.00,0.0541702,0.00052512,0.2518919
1400000US29043020306,2,0,1,7247,21654.00,0.0532440,0.00027598,0.2456793
1400000US29043020400,2,0,2,7676,37358.00,0.0946502,0.00208442,0.1281293
1400000US29043020500,5,1,1,6663,0.00,0.0857586,0.00300165,0.1447686
1400000US29045950100,0,0,0,1949,44985.00,0.0828947,0.00000000,0.0791726
1400000US29045950200,0,0,1,2172,72468.00,0.1108597,0.00000000,0.0953660
1400000US29045950300,3,0,1,3048,45500.00,0.0891174,0.00262467,0.1188707
1400000US29047020201,1,1,0,5340,33654.00,0.1124531,0.00205993,0.1226361
1400000US29047020202,1,0,0,3642,63963.00,0.0191617,0.00054915,0.3513610
1400000US29047020300,1,0,1,6951,42011.00,0.0992754,0.00115091,0.2250336
1400000US29047020400,2,0,0,2549,58105.00,0.0354978,0.00117693,0.1936641
1400000US29047020500,0,0,0,5380,35364.00,0.1100561,0.00464684,0.1365159
1400000US29047020602,2,0,1,3492,43750.00,0.1737858,0.00085911,0.1473595
1400000US29047020603,2,0,0,3418,39915.00,0.1354698,0.00263312,0.0555318
1400000US29047020604,3,1,2,4594,47273.00,0.1141751,0.00217675,0.1375730
1400000US29047020801,7,1,3,6846,31934.00,0.0692226,0.00248320,0.1679453
1400000US29047020901,1,2,1,5899,36918.00,0.0706827,0.00203424,0.2043246
1400000US29047020902,1,0,0,2414,27579.00,0.1216216,0.00248550,0.1811506
1400000US29047021001,1,0,2,3376,77317.00,0.1743796,0.00414692,0.1433165
1400000US29047021003,0,0,0,4082,40076.00,0.0310752,0.00097991,0.2596913
1400000US29047021004,1,0,1,3124,36700.00,0.0887290,0.00224072,0.1902277
1400000US29047021101,2,2,2,4518,31869.00,0.0819423,0.00243471,0.1409047
1400000US29047021102,2,1,0,6409,45858.00,0.0898370,0.00109221,0.1983702
1400000US29047021103,0,0,1,3559,15682.00,0.0298013,0.00196685,0.1887858
1400000US29047021204,1,0,0,5241,26042.00,0.2602284,0.00133562,0.1476176
1400000US29047021205,1,0,3,5995,82409.00,0.0225105,0.00016681,0.2422495
1400000US29047021206,4,0,2,7166,30938.00,0.0290155,0.00055819,0.2477997
1400000US29047021207,0,0,1,2207,50000.00,0.0581633,0.00135931,0.1864952
1400000US29047021208,0,0,0,6003,34943.00,0.0448365,0.00083292,0.2411991
1400000US29047021303,1,0,0,2550,39933.00,0.0846433,0.00117647,0.3256579
1400000US29047021305,1,0,0,7492,37396.00,0.0721852,0.00106781,0.2051858
1400000US29047021306,2,0,0,7563,47932.00,0.0259918,0.00105778,0.2852134
1400000US29047021307,1,0,1,5030,61800.00,0.0337942,0.00079523,0.2835526
1400000US29047021309,1,0,0,3441,48354.00,0.0080241,0.00029061,0.3305870
1400000US29047021310,0,0,1,5423,55594.00,0.0245687,0.00092200,0.3465231
1400000US29047021401,0,0,1,4505,45868.00,0.0637481,0.00088790,0.2368194
1400000US29047021403,2,0,0,3329,66338.00,0.0691376,0.00841093,0.1397403
1400000US29047021404,2,0,3,4113,81821.00,0.1141304,0.00170192,0.2407291
1400000US29047021600,3,0,0,7811,31335.00,0.0816982,0.00102420,0.2253206
1400000US29047021701,4,0,3,5034,29299.00,0.0704752,0.00119190,0.0927649
1400000US29047021702,2,0,2,6540,44800.00,0.1410055,0.00259939,0.0673550
1400000US29047021803,1,0,0,6168,77847.00,0.0089526,0.00064851,0.3134734
1400000US29047021804,1,1,1,6524,24447.00,0.0375458,0.00091968,0.1959763
1400000US29047021805,3,0,1,8003,35675.00,0.0154951,0.00062477,0.2410342
1400000US29047021806,0,0,2,3458,62455.00,0.0085592,0.00433777,0.1333614
1400000US29047021900,0,0,0,5137,30810.00,0.0175345,0.00097333,0.2445478
1400000US29047022000,3,0,3,4337,72694.00,0.0978941,0.00184459,0.1905576
1400000US29047022100,1,0,4,4391,72400.00,0.0739423,0.00956502,0.1611922
1400000US29047022200,1,0,2,3559,72109.00,0.0777856,0.00252880,0.1027140
1400000US29047022301,1,1,1,2763,52488.00,0.0620861,0.00180963,0.1603875
1400000US29047022302,1,0,0,5639,99961.00,0.0564127,0.00035467,0.2904168
1400000US29049960100,3,0,3,5132,36752.00,0.1517723,0.00214341,0.1101404
1400000US29049960200,3,0,0,7006,77625.00,0.0750916,0.00171282,0.1051107
1400000US29049960300,3,0,2,4096,39681.00,0.0488540,0.00366211,0.1225937
1400000US29049960400,2,0,0,4448,22490.00,0.0564706,0.00269784,0.1133106
1400000US29051010300,2,2,3,4859,30349.00,0.0437788,0.00308706,0.2001198
1400000US29051010400,1,0,3,6711,41926.00,0.0831826,0.00253316,0.2627897
1400000US29051010500,4,1,4,5768,24794.00,0.2337229,0.00398752,0.1254919
1400000US29051010600,2,2,6,4046,22946.00,0.1659056,0.00148295,0.2251908
1400000US29051010701,2,1,4,5332,43646.00,0.0258269,0.00075019,0.2313266
1400000US29051010702,1,0,5,4560,49500.00,0.0597260,0.00197368,0.2853933
1400000US29051010800,0,0,5,8197,43333.00,0.0525229,0.00170794,0.3134538
1400000US29051010900,2,1,2,6145,47003.00,0.1000794,0.00211554,0.2330910
1400000US29051020198,0,1,2,6071,91971.00,0.0335664,0.00049415,0.1051276
1400000US29051020200,3,2,1,3986,21288.00,0.0290368,0.00175615,0.1921084
1400000US29051020300,2,0,0,3589,77128.00,0.0145349,0.00111452,0.1392675
1400000US29051020400,0,0,1,6244,22077.00,0.1026182,0.00224215,0.1607276
1400000US29051020500,3,0,1,2785,59266.00,0.0435572,0.00179533,0.1370474
1400000US29051020600,0,1,0,4221,59554.00,0.0748792,0.00284293,0.1446252
1400000US29051020700,1,1,4,2253,93581.00,0.3111111,0.00621394,0.0917431
1400000US29053950100,2,1,0,2912,48936.00,0.0953587,0.00206044,0.1635282
1400000US29053950200,3,1,0,3051,22181.00,0.1694153,0.00262209,0.0522667
1400000US29053950300,3,0,3,4019,41466.00,0.0617359,0.00248818,0.1181588
1400000US29053950400,0,0,0,2445,61592.00,0.1750503,0.00368098,0.1665689
1400000US29053950500,7,1,1,5156,39075.00,0.1368146,0.00310318,0.0774648
1400000US29055450101,0,0,1,1896,53460.00,0.0721785,0.00580169,0.1213916
1400000US29055450102,3,0,1,6557,107031.00,0.1717172,0.00289767,0.0784684
1400000US29055450200,0,0,0,4124,41384.00,0.1361386,0.00339476,0.0281787
1400000US29055450301,0,0,0,2840,53902.00,0.0761468,0.00281690,0.1504803
1400000US29055450302,3,1,2,4351,106415.00,0.1990660,0.00344748,0.0689417
1400000US29055450400,0,0,1,4872,86262.00,0.1465969,0.00348933,0.0564904
1400000US29057480100,4,0,1,4648,28112.00,0.1561514,0.00150602,0.0465811
1400000US29057480200,1,0,0,3281,43205.00,0.0989811,0.00030479,0.0889774
1400000US29059480100,0,1,0,4806,46054.00,0.1515464,0.00124844,0.0694485
1400000US29059480200,2,0,3,5557,45498.00,0.2871103,0.00215944,0.1017798
1400000US29059480300,0,0,0,6450,36351.00,0.1099788,0.00015504,0.0846951
1400000US29061470100,2,0,0,2988,29198.00,0.0516432,0.00167336,0.0980760
1400000US29061470200,4,4,0,5371,58226.00,0.1303483,0.00372370,0.1008876
1400000US29063080100,2,0,2,9098,100347.00,0.1431468,0.00087931,0.0842260
1400000US29063080200,6,0,0,3774,41597.00,0.0695652,0.00264971,0.0888383
1400000US29065960100,0,0,0,5124,55679.00,0.1397849,0.00019516,0.0680658
1400000US29065960200,0,0,0,4918,123750.00,0.1056564,0.00000000,0.0782382
1400000US29065960300,1,0,2,2084,37235.00,0.1554054,0.00383877,0.1036745
1400000US29065960400,2,0,1,3371,110648.00,0.2044003,0.00415307,0.0667575
1400000US29067950100,1,0,0,3945,26810.00,0.1499293,0.00000000,0.0595543
1400000US29067950200,1,0,0,6022,87206.00,0.1086957,0.00000000,0.0694617
1400000US29067950500,3,0,1,3722,32950.00,0.1250798,0.00134336,0.0744723
1400000US29069360100,0,0,1,2406,18560.00,0.4222222,0.00872818,0.0279402
1400000US29069360200,2,0,2,3134,53244.00,0.1729323,0.00159541,0.0470297
1400000US29069360300,0,0,0,4359,55463.00,0.2537237,0.00183528,0.0474976
1400000US29069360400,0,0,0,4181,39191.00,0.2209649,0.00334848,0.0377711
1400000US29069360500,2,0,1,3920,56991.00,0.2871708,0.00433674,0.0753556
1400000US29069360600,1,0,0,4568,86636.00,0.3174157,0.00481611,0.0672579
1400000US29069360700,4,0,2,3099,49621.00,0.1452312,0.00387222,0.0818308
1400000US29069360800,0,0,0,2243,57411.00,0.3567182,0.00401248,0.0629096
1400000US29069360900,1,0,0,2031,63731.00,0.2520612,0.00049237,0.0781690
1400000US29069361000,2,0,0,2199,72208.00,0.2996845,0.00363802,0.0422078
1400000US29071800100,2,1,1,8816,35439.00,0.0646944,0.00272232,0.1127883
1400000US29071800201,2,0,2,5182,86154.00,0.0757904,0.00366654,0.1750000
1400000US29071800202,0,0,2,5567,31633.00,0.0276865,0.00107778,0.1671958
1400000US29071800300,3,3,1,7778,74375.00,0.0706416,0.00179995,0.1695849
1400000US29071800401,5,0,2,5328,16983.00,0.0298031,0.00037538,0.0961593
1400000US29071800402,0,1,0,7182,40000.00,0.1117381,0.00222779,0.0929447
1400000US29071800500,2,0,2,7325,53395.00,0.0615929,0.00273038,0.0568522
1400000US29071800601,6,1,5,6547,49483.00,0.1165492,0.00213838,0.1017570
1400000US29071800602,0,0,2,7875,30737.00,0.0872131,0.00393651,0.1489444
1400000US29071800701,6,1,0,6905,58736.00,0.0942029,0.00115858,0.0895620
1400000US29071800702,0,0,0,2628,43479.00,0.1222222,0.00114155,0.1238532
1400000US29071800800,1,0,0,7650,38045.00,0.0610716,0.00457516,0.0617956
1400000US29071800901,1,0,0,2788,58684.00,0.0951374,0.00215208,0.0189546
1400000US29071800902,4,2,4,6695,35746.00,0.2024493,0.00343540,0.0527211
